TH-10,BKK,กรุงเทพมหานคร,Bangkok
TH-11,SPK,สมุทรปราการ,Samut Prakan
TH-12,NBI,นนทบุรี,Nonthaburi
TH-13,PTE,ปทุมธานี,Pathum Thani
TH-14,AYA,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya
TH-15,ATG,อ่างทอง,Ang Thong
TH-16,LRI,ลพบุรี,Lopburi
TH-17,SBR,สิงห์บุรี,Sing Buri
TH-18,CNT,ชัยนาท,Chai Nat
TH-19,SRI,สระบุรี,Saraburi
TH-20,CBI,ชลบุรี,Chonburi
TH-21,RYG,ระยอง,Rayong
TH-22,CTI,จันทบุรี,Chanthaburi
TH-23,TRT,ตราด,Trat
TH-24,CCO,ฉะเชิงเทรา,Chachoengsao
TH-25,PRI,ปราจีนบุรี,Prachinburi
TH-26,NYK,นครนายก,Nakhon Nayok
TH-27,SKW,สระแก้ว,Sa Kaeo
TH-30,NMA,นครราชสีมา,Nakhon Ratchasima
TH-31,BRM,บุรีรัมย์,Buriram
TH-32,SRN,สุรินทร์,Surin
TH-33,SSK,ศรีสะเกษ,Sisaket
TH-34,UBN,อุบลราชธานี,Ubon Ratchathani
TH-35,YST,ยโสธร,Yasothon
TH-36,CPM,ชัยภูมิ,Chaiyaphum
TH-37,ACR,อำนาจเจริญ,Amnat Charoen
TH-38,BKN,บึงกาฬ,Bueng Kan
TH-39,NBP,หนองบัวลำภู,Nong Bua Lamphu
TH-40,KKN,ขอนแก่น,Khon Kaen
TH-41,UDN,อุดรธานี,Udon Thani
TH-42,LEI,เลย,Loei
TH-43,NKI,หนองคาย,Nong Khai
TH-44,MKM,มหาสารคาม,Maha Sarakham
TH-45,RET,ร้อยเอ็ด,Roi Et
TH-46,KSN,กาฬสินธุ์,Kalasin
TH-47,SNK,สกลนคร,Sakon Nakhon
TH-48,NPM,นครพนม,Nakhon Phanom
TH-49,MDH,มุกดาหาร,Mukdahan
TH-50,CMI,เชียงใหม่,Chiang Mai
TH-51,LPN,ลำพูน,Lamphun
TH-52,LPG,ลำปาง,Lampang
TH-53,UTD,อุตรดิตถ์,Uttaradit
TH-54,PRE,แพร่,Phrae
TH-55,NAN,น่าน,Nan
TH-56,PYO,พะเยา,Phayao
TH-57,CRI,เชียงราย,Chiang Rai
TH-58,MSN,แม่ฮ่องสอน,Mae Hong Son
TH-60,NSN,นครสวรรค์,Nakhon Sawan
TH-61,UTI,อุทัยธานี,Uthai Thani
TH-62,KPT,กำแพงเพชร,Kamphaeng Phet
TH-63,TAK,ตาก,Tak
TH-64,STI,สุโขทัย,Sukhothai
TH-65,PLK,พิษณุโลก,Phitsanulok
TH-66,PCT,พิจิตร,Phichit
TH-67,PNB,เพชรบูรณ์,Phetchabun
TH-70,RBR,ราชบุรี,Ratchaburi
TH-71,KRI,กาญจนบุรี,Kanchanaburi
TH-72,SPB,สุพรรณบุรี,Suphan Buri
TH-73,NPT,นครปฐม,Nakhon Pathom
TH-74,SKN,สมุทรสาคร,Samut Sakhon
TH-75,SKM,สมุทรสงคราม,Samut Songkhram
TH-76,PBI,เพชรบุรี,Phetchaburi
TH-77,PKN,ประจวบคีรีขันธ์,Prachuap Khiri Khan
TH-80,NRT,นครศรีธรรมราช,Nakhon Si Thammarat
TH-81,KBI,กระบี่,Krabi
TH-82,PNA,พังงา,Phang Nga
TH-83,PKT,ภูเก็ต,Phuket
TH-84,SNI,สุราษฎร์ธานี,Surat Thani
TH-85,RNG,ระนอง,Ranong
TH-86,CPN,ชุมพร,Chumphon
TH-90,SKA,สงขลา,Songkhla
TH-91,STN,สตูล,Satun
TH-92,TRG,ตรัง,Trang
TH-93,PLG,พัทลุง,Phatthalung
TH-94,PTN,ปัตตานี,Pattani
TH-95,YLA,ยะลา,Yala
TH-96,NWT,นราธิวาส,Narathiwat